tenns,10,0,0.0000,
sample,
a29he,2336,214,0.0051,
a2chakma,2336,214,0.0051,
a2duman,2336,214,0.0051,
a4tao,2336,214,0.0051,
a77yang,2256,216,0.0051,
acerejo,
adauge,2336,214,0.0051,
c275huan,2336,214,0.0051,
cyptran,2336,214,0.0051,
d36mehta,2336,214,0.0051,
dctpham,2336,214,0.0051,
gh2zhang,2336,214,0.0051,
h2rawasi,
h7davis,51,0,0.0000,
j2bhiman,2336,214,0.0051,
jmlumiba,2336,214,0.0051,
k44jiang,2336,214,0.0051,
kdpandey,2274,205,0.0049,
kprazuch,2336,214,0.0051,
ksmoffet,2336,214,0.0051,
lnogueir,2336,214,0.0051,
mgionet,2333,214,0.0051,
mzaryab,2333,214,0.0051,
ptwareck,2336,214,0.0051,
r39kim,2333,214,0.0051,
rsaboo,2336,214,0.0051,
s24hsu,2345,214,0.0051,
s6kwok,2336,214,0.0051,
sajmera,2336,214,0.0051,
sholla,2336,214,0.0051,
tenns,316,58,0.0014,
tzada,2336,214,0.0051,
vjhhuynh,2336,214,0.0051,
wqding,2336,214,0.0051,
zj2yan,2336,214,0.0051,
